"Average annual expenditures and characteristics of all consumer units, Consumer Expenditure Surveys, 2021-2024",,,,
,,,,
"Unemployment and workers' compensation, veterans' benefits, and regular contributions for support","1,101",668,505,635
Other income,336,346,330,291
,,,,
Personal taxes (contains some imputed values),"8,689","11,060","13,937",b/
Federal income taxes,"8,561","8,275","10,912",b/
Stimulus payment (through Q20221)#,"-2,542",0,f/,f/
State and local income taxes,"2,564","2,702","2,942",b/
Other taxes,105,84,83,b/
,,,,
Income after taxes,"78,743","82,944","87,869",b/
,,,,
Addenda:,,,,
,,,,
Other financial information:,,,,
Other money receipts,"1,004","1,120 h/","1,070 h/",942
Mortgage principal paid on owned property,"-2,621","-2,843","-2,935","-2,924"
Estimated market value of owned home,"253,645","279,189","292,518","310,670"
Estimated monthly rental value of owned home,"1,265","1,401","1,500","1,556"
,,,,
a Data are rounded to the nearest thousands.,,,,
"b Beginning with 2024 publication, estimates developed by TAXSIM models will no longer be published.",,,,
c Value is too small to display.,,,,
"d Due to corrections that occurred post-publication, 2022 numbers are different than the 2022 tables published in September 2023.",,,,
"e Due to corrections that occurred post-publication, 2023 numbers are different than the 2023 tables published in September 2024.",,,,
f No data reported.,,,,
"g Beginning with 2023 data, Gasoline and other fuels is a new expenditure category.",,,,
h Data have a Relative Standard Error (RSE) equal to or greater than 25 percent. These estimates should be used with caution. See www.bls.gov/cex/tables-getting-started-guide.htm#section5 for more information.,,,,
# Data collection for this item began in June 2020. Stimulus payments delivered to respondents interviewed in April and May of 2020 were not included in estimation.,,,,
"Note: All values have been rounded, and as a result some cell values have been rounded to zero. This is particularly evident in the characteristic section. When data are not reported or are not applicable (i.e., missing values), tabulated cell values have been set to zero.",,,,
,,,,
,,,,
,,,,
"Source: Consumer Expenditure Surveys, U.S. Bureau of Labor Statistics, December, 2025",,,,
